gisjoin_1800,cnty_area_1800,gisjoin_2020,cnty_area_2020,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G1301190,1990953165.43,13257,476289595.804,364973489.581,1242.0724,1250.6746,1251.3317,6858.9995,6859,6859.0005,.18331596,.18108653,.18234065,.18243645
G1301190,1990953165.43,45007,1957417062.11,868176.977894,3.450201,0,0,6858.9995,6859,6859.0005,.00043606097,.00050301809,0,0
G1301190,1990953165.43,45073,1744519082.27,82023.65956650001,0,0,0,6858.9995,6859,6859.0005,.000041198185,0,0,0
G1301270,1711318380.43,13025,1158263953.65,189514443.162,201.05888,272.64154,276.8342,1874,1874,1874,.11074178,.10728863,.14548641,.14772369
G1301270,1711318380.43,13039,2025131881.56,524539.124691,1.0927113,0,0,1874,1874,1874,.00030651171,.00058309035,0,0
G1301270,1711318380.43,13127,1515958355.81,1126798111.39,1242.4128,1207.178,1197.4482,1874,1874,1874,.65843862,.66297376,.64417183,.63897985
G1301270,1711318380.43,13183,1045868671.2,185746.240434,0,0,0,1874,1874,1874,.00010853985,0,0,0
G1301270,1711318380.43,13191,1486366601.38,306899.724928,0,0,0,1874,1874,1874,.00017933526,0,0,0
G1301270,1711318380.43,13305,1680055251.91,393988647.235,429.43555,394.18054,399.71753,1874,1874,1874,.23022522,.22915451,.21034181,.21329644
G1301330,1178338325.45,13133,1052081770.18,1048590276.15,9565.334,9220.3545,9225.8975,10761.001,10761,10761,.88988894,.8888889,.85683066,.85734576
G1301330,1178338325.45,13133,1052081770.18,.437606368691,0,0,0,10761.001,10761,10761,3.7137582e-10,0,0,0
G1301330,1178338325.45,13141,1237537106.26,8373.176822359999,0,0,0,10761.001,10761,10761,7.1059189e-06,0,0,0
G1301330,1178338325.45,13211,918463411.473,256682.887408,0,0,0,10761.001,10761,10761,.00021783462,0,0,0
